timestamp,x,y,z,yaw,lidar_altitude,traj_x,traj_y,traj_z,traj_yaw,mode,arm,aruco id,servo pos,precision descend done
1744660591.4283767,0.2043388932943344,0.04954512044787407,-0.08855028450489044,1.5458366180945071,,0.0,0.0,0.0,0.0,,False,0,2048,False
1744660591.4295256,0.20440517365932465,0.05009082332253456,-0.088608019053936,1.5458287496082117,,0.0,0.0,0.0,0.0,,False,0,2048,False
1744660591.4421782,0.20447222888469696,0.0506281703710556,-0.08865507692098618,1.545820703850137,,0.0,0.0,0.0,0.0,,False,0,2048,False
1744660591.4506402,0.2045581042766571,0.05115021392703056,-0.0886916071176529,1.5458131318135915,,0.0,0.0,0.0,0.0,,False,0,2048,False
1744660591.4620621,0.20473183691501617,0.052170466631650925,-0.0887170061469078,1.545809558073424,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.4699497,0.2048197239637375,0.05266909673810005,-0.08870667964220047,1.5458080088076551,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.4826274,0.20541968941688538,0.053043171763420105,-0.08880700916051865,1.5458079551776953,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.4904082,0.20601032674312592,0.053411006927490234,-0.08889506757259369,1.5458019309200288,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5019429,0.20716463029384613,0.054128557443618774,-0.0890355259180069,1.5457872054530277,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5103667,0.20772887766361237,0.05447833240032196,-0.08908827602863312,1.545781301858505,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5226555,0.20828956365585327,0.0548257939517498,-0.08912971615791321,1.5457772499366953,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5301616,0.20884238183498383,0.05516751855611801,-0.08914319425821304,1.5457750422323668,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5426652,0.20992571115493774,0.05583389848470688,-0.08913928270339966,1.5457699192357128,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.551843,0.21045587956905365,0.05615919083356857,-0.08912209421396255,1.5457672378181442,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5624826,0.21097928285598755,0.05647917091846466,-0.0890948697924614,1.54576652277352,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.569877,0.21149608492851257,0.05679383501410484,-0.08905773609876633,1.5457661056641678,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5833626,0.2125108391046524,0.05740782618522644,-0.08893855661153793,1.545766044585326,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.5907621,0.21301192045211792,0.05770459026098251,-0.08885722607374191,1.5457652088747582,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6025012,0.21350747346878052,0.05799634009599686,-0.08876726031303406,1.5457648513524367,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.611055,0.2133374810218811,0.058329660445451736,-0.08862443268299103,1.5457637772935828,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.623604,0.21302412450313568,0.0589820072054863,-0.08831528574228287,1.5457743927396792,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6302524,0.21288040280342102,0.059301212430000305,-0.08814918994903564,1.545779879223202,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6428561,0.21274489164352417,0.059615880250930786,-0.08797553926706314,1.5457860226547078,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.650841,0.2126171886920929,0.05992608517408371,-0.0877794697880745,1.545791208221074,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.662333,0.21249711513519287,0.06023198738694191,-0.08757641911506653,1.5457975274329656,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6707804,0.21228769421577454,0.060811057686805725,-0.08715000003576279,1.545818992197205,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6833982,0.21219345927238464,0.061094705015420914,-0.08692706376314163,1.5458328268306387,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.6907444,0.2121058851480484,0.061374418437480927,-0.08669784665107727,1.54584815411498,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.703279,0.21194976568222046,0.061922501772642136,-0.08620648831129074,1.545877965538155,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7115946,0.21188074350357056,0.06219099834561348,-0.08594486862421036,1.545893468606849,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.72337,0.21181733906269073,0.06245587021112442,-0.08567765355110168,1.5459082551443015,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7308962,0.21177241206169128,0.06272587180137634,-0.08540499955415726,1.5459235198626446,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7431474,0.21058273315429688,0.06372874230146408,-0.08480100333690643,1.545939259796691,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7514596,0.21001197397708893,0.06421636044979095,-0.0844920352101326,1.5459499914358898,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7630818,0.20945695042610168,0.06469489634037018,-0.08417859673500061,1.5459634685331298,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.771529,0.20891721546649933,0.06516465544700623,-0.08384761214256287,1.5459761709927098,,0.0,0.0,0.0,0.0,4,False,0,2048,False
1744660591.7838573,0.20788216590881348,0.06607841700315475,-0.08317393064498901,1.5459967404598152,,0.0,0.0,0.0,0.0,4,False,0,2048,False
