timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
4.10069,0.0401067,-0.00184137,0.0401067,-0.00184137,-0.0280747,0.00128896,1.13277,-0.927587,1.09266,-0.925746,4.76736,0
4.12069,0.0375462,0.00209607,0.0776529,0.000254704,-0.0262824,-0.00146725,1.13125,-0.927193,1.0937,-0.929289,4.75389,0.6
4.14069,0.0352643,0.0026889,0.112917,0.0029436,-0.024685,-0.00188223,1.12897,-0.9266,1.0937,-0.929289,4.75389,0.6
4.1607,0.0357255,0.00607181,0.148643,0.00901541,-0.0250078,-0.00425026,1.12743,-0.92621,1.09171,-0.932282,4.7537,0.6
4.18071,0.0335175,0.00989699,0.18216,0.0189124,-0.0234622,-0.00692789,1.12616,-0.926357,1.09264,-0.936254,4.83038,0.6
4.20069,0.0326478,0.00981193,0.214808,0.0287243,-0.0228535,-0.00686835,1.12529,-0.926442,1.09264,-0.936254,4.83038,0.6
4.2207,0.030182,0.0133214,0.24499,0.0420457,-0.0211274,-0.00932498,1.12395,-0.926556,1.09377,-0.939878,4.75392,0.6
4.2407,0.0292732,0.0132523,0.274263,0.0552981,-0.0204912,-0.00927662,1.12305,-0.926625,1.09377,-0.939878,4.75392,0.6
4.2607,0.0254548,0.0141822,0.299718,0.0694803,-0.0178183,-0.00992757,1.12166,-0.926722,1.09621,-0.940904,4.76734,0.6
4.28074,0.0253197,0.020732,0.325038,0.0902123,-0.0177238,-0.0145124,1.12071,-0.926785,1.09539,-0.947517,4.77254,0.6
4.3007,0.0234152,0.0226928,0.348453,0.112905,-0.0163907,-0.015885,1.1188,-0.924824,1.09539,-0.947517,4.77254,0.6
4.32072,0.0205318,0.0251636,0.368985,0.138069,-0.0143723,-0.0176145,1.11741,-0.922914,1.09688,-0.948077,4.83038,0.6
4.34068,0.019841,0.0260892,0.388826,0.164158,-0.0138887,-0.0182624,1.11672,-0.921988,1.09688,-0.948077,4.83038,0.6
4.36072,0.0174398,0.0283389,0.406266,0.192497,-0.0122079,-0.0198372,1.11403,-0.918468,1.09659,-0.946807,4.75368,0.6
4.38067,0.0154932,0.0308024,0.421759,0.223299,-0.0108452,-0.0215616,1.11208,-0.916004,1.09659,-0.946807,4.75368,0.6
4.40071,0.0148531,0.0315921,0.436612,0.254891,-0.0103972,-0.0221144,1.11144,-0.915214,1.09659,-0.946807,4.75368,0.6
4.42071,0.0143692,0.031601,0.450981,0.286492,-0.0100584,-0.0221207,1.11017,-0.91368,1.09581,-0.945281,4.77272,0.6
4.44076,0.011912,0.0357716,0.462893,0.322264,-0.00833841,-0.0250401,1.10772,-0.909509,1.09581,-0.945281,4.77272,0.6
4.46072,0.0111983,0.0350832,0.474091,0.357347,-0.00783883,-0.0245582,1.10613,-0.906866,1.09493,-0.941949,4.75368,0.6
4.48072,0.0106113,0.0380937,0.484703,0.395441,-0.00742791,-0.0266656,1.10382,-0.903094,1.09321,-0.941187,4.82979,0.6
