timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
3.9005,0.0123805,-0.0991045,0.0123805,-0.0991045,-0.00866636,0.0693732,0.735779,-1.03766,0.723398,-0.938555,4.0957,0
3.92044,0.0100187,-0.0939098,0.0223992,-0.193014,-0.00701308,0.0657369,0.734624,-1.03477,0.724605,-0.940861,4.03797,0.6
3.94052,0.00907667,-0.0928596,0.0314759,-0.285874,-0.00635367,0.0650017,0.734412,-1.03383,0.725335,-0.94097,4.0957,0.6
3.96054,0.00864287,-0.0909724,0.0401187,-0.376846,-0.00605001,0.0636807,0.733978,-1.03194,0.725335,-0.94097,4.0957,0.6
3.98051,0.00537768,-0.0907397,0.0454964,-0.467586,-0.00376437,0.0635178,0.733304,-1.0291,0.727927,-0.938362,4.0957,0.6
4.00059,0.00491449,-0.0888405,0.0504109,-0.556427,-0.00344014,0.0621884,0.732841,-1.0272,0.727927,-0.938362,4.0957,0.6
4.02052,0.00419286,-0.0859935,0.0546038,-0.64242,-0.002935,0.0601954,0.732119,-1.02436,0.727927,-0.938362,4.0957,0.6
4.04051,0.00369909,-0.0840966,0.0583029,-0.726517,-0.00258936,0.0588676,0.731626,-1.02246,0.727927,-0.938362,4.0957,0.6
4.06052,0.00234416,-0.0820957,0.060647,-0.808612,-0.00164091,0.057467,0.730271,-1.02046,0.727927,-0.938362,4.0957,0.6
4.08051,-0.00365251,-0.0799795,0.0569945,-0.888592,0.00255676,0.0559856,0.729191,-1.01935,0.732843,-0.939375,4.0957,0.6
4.10069,-0.00522566,-0.0782468,0.0517689,-0.966839,0.00365796,0.0547727,0.727618,-1.01762,0.732843,-0.939375,4.0957,0.6
4.12051,-0.00686907,-0.0733067,0.0448998,-1.04015,0.00480835,0.0513147,0.726095,-1.01584,0.732964,-0.942533,4.01084,0.6
4.14053,-0.00977948,-0.0707122,0.0351203,-1.11086,0.00684563,0.0494985,0.725106,-1.01463,0.734885,-0.943917,3.99923,0.6
4.16052,-0.0107289,-0.0694759,0.0243914,-1.18033,0.00751024,0.0486331,0.724156,-1.01339,0.734885,-0.943917,3.99923,0.6
4.18052,-0.0124822,-0.0675145,0.0119092,-1.24785,0.00873751,0.0472601,0.722769,-1.01121,0.735251,-0.943695,4.01046,0.6
4.20055,-0.0133781,-0.0656593,-0.00146885,-1.31351,0.00936466,0.0459615,0.721873,-1.00935,0.735251,-0.943695,4.01046,0.6
4.22052,-0.0141896,-0.062745,-0.0156584,-1.37625,0.00993272,0.0439215,0.720563,-1.00664,0.734753,-0.943899,4.00859,0.6
4.24054,-0.0171272,-0.0595475,-0.0327856,-1.4358,0.011989,0.0416832,0.719703,-1.00491,0.73683,-0.945359,4.00026,0.6
4.26052,-0.0183715,-0.0569783,-0.0511571,-1.49278,0.01286,0.0398848,0.718459,-1.00234,0.73683,-0.945359,4.00026,0.6
4.28053,-0.0179342,-0.0580444,-0.0690913,-1.55082,0.012554,0.0406311,0.717659,-1.00065,0.735593,-0.942603,4.00026,0.6
4.30055,-0.0196553,-0.0560821,-0.0887466,-1.6069,0.0137587,0.0392575,0.715938,-0.998685,0.735593,-0.942603,4.00026,0.6
4.32052,-0.0216847,-0.0544518,-0.110431,-1.66136,0.0151793,0.0381162,0.714114,-0.998078,0.735799,-0.943626,3.95547,0.6
4.34052,-0.0221334,-0.0522717,-0.132565,-1.71363,0.0154934,0.0365902,0.711505,-0.997114,0.733639,-0.944843,3.95619,0.6
4.36053,-0.0237646,-0.0516154,-0.156329,-1.76524,0.0166352,0.0361308,0.709874,-0.996458,0.733639,-0.944843,3.95619,0.6
4.38052,-0.0262442,-0.0505609,-0.182574,-1.8158,0.0183709,0.0353926,0.707582,-0.995456,0.733826,-0.944895,3.96886,0.6
