timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,Above Ground z,Target z
2.47751,0.0659677,-0.11227,0.0659677,-0.11227,-0.0461774,0.0785892,0.982988,-0.951376,0.917021,-0.839106,3.74647,0
2.4975,0.0684839,-0.113949,0.134452,-0.226219,-0.0479387,0.079764,0.985505,-0.953054,0.917021,-0.839106,3.74647,0.6
2.51746,0.0696736,-0.114813,0.204125,-0.341032,-0.0487715,0.0803693,0.986694,-0.953919,0.917021,-0.839106,3.74647,0.6
2.53746,0.0713943,-0.115969,0.275519,-0.457001,-0.049976,0.081178,0.988415,-0.955074,0.917021,-0.839106,3.74647,0.6
2.55769,0.0707747,-0.115893,0.346294,-0.572894,-0.0495423,0.0811251,0.989521,-0.955752,0.918746,-0.839859,3.74815,0.6
2.57743,0.0723588,-0.116775,0.418653,-0.689669,-0.0506511,0.0817428,0.991105,-0.956635,0.918746,-0.839859,3.74815,0.6
2.59746,0.0733512,-0.117274,0.492004,-0.806943,-0.0513459,0.0820915,0.992097,-0.957133,0.918746,-0.839859,3.74815,0.6
2.61735,0.0813127,-0.121581,0.573317,-0.928523,-0.0569189,0.0851065,0.993472,-0.957749,0.912159,-0.836168,3.79546,0.6
2.63729,0.0821498,-0.12325,0.655467,-1.05177,-0.0575049,0.0862749,0.994309,-0.959418,0.912159,-0.836168,3.79546,0.6
2.65728,0.0820753,-0.126344,0.737542,-1.17812,-0.0574527,0.0884411,0.995446,-0.961724,0.91337,-0.83538,3.74813,0.6
2.67726,0.086979,-0.127306,0.824521,-1.30542,-0.0608853,0.0891141,0.996118,-0.963131,0.909139,-0.835825,3.71233,0.6
2.69724,0.0878251,-0.129253,0.912346,-1.43468,-0.0614776,0.0904774,0.996964,-0.965079,0.909139,-0.835825,3.71233,0.6
2.71721,0.0989894,-0.127777,1.01134,-1.56245,-0.0692926,0.0894441,0.99741,-0.966281,0.898421,-0.838503,3.73895,0.6
2.7372,0.0994721,-0.129452,1.11081,-1.69191,-0.0696305,0.0906161,0.997893,-0.967955,0.898421,-0.838503,3.73895,0.6
2.75716,0.103831,-0.135266,1.21464,-1.82717,-0.0726816,0.094686,1.00225,-0.973769,0.898421,-0.838503,3.73895,0.6
2.77716,0.109895,-0.14359,1.32453,-1.97076,-0.0769268,0.100513,1.00832,-0.982093,0.898421,-0.838503,3.73895,0.6
2.79714,0.113633,-0.148898,1.43817,-2.11966,-0.0795432,0.104229,1.01205,-0.987402,0.898421,-0.838503,3.73895,0.6
2.81709,0.118801,-0.156538,1.55697,-2.2762,-0.0831604,0.109577,1.01722,-0.995041,0.898421,-0.838503,3.73895,0.6
2.83716,0.121964,-0.161434,1.67893,-2.43763,-0.0853751,0.113004,1.02038,-0.999937,0.898421,-0.838503,3.73895,0.6
2.85705,0.13757,-0.131656,1.8165,-2.56929,-0.0962992,0.092159,1.02473,-1.00701,0.887157,-0.875354,3.7218,0.6
2.87704,0.147175,-0.127001,1.96368,-2.69629,-0.103022,0.0889005,1.03169,-1.0146,0.884515,-0.887603,3.7276,0.6
2.89709,0.158051,-0.13733,2.12173,-2.83362,-0.110636,0.0961312,1.04257,-1.02493,0.884515,-0.887603,3.7276,0.6
2.91699,0.159923,-0.136549,2.28165,-2.97017,-0.111946,0.0955846,1.05803,-1.03977,0.898104,-0.903216,3.67914,0.6
2.93696,0.174427,-0.150626,2.45608,-3,-0.122099,0.105438,1.07253,-1.05384,0.898104,-0.903216,3.67914,0.6
