timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
4.1606,0.00928748,-0.018314,-1.13058,1.5627,-0.00650124,0.0128198,-0.961575,-0.714293,-0.970862,-0.695979,4.38308,0.6
4.16062,0.00928748,-0.018314,-1.12129,1.54439,-0.00650124,0.0128198,-0.961575,-0.714293,-0.970862,-0.695979,4.38308,0.6
4.18061,0.0124106,-0.0182038,-1.10888,1.52618,-0.00868741,0.0127426,-0.958452,-0.714183,-0.970862,-0.695979,4.38308,0.6
4.18063,0.0124106,-0.0182038,-1.09647,1.50798,-0.00868741,0.0127426,-0.958452,-0.714183,-0.970862,-0.695979,4.38308,0.6
4.20061,0.0144072,-0.0180884,-1.08206,1.48989,-0.010085,0.0126619,-0.956455,-0.714068,-0.970862,-0.695979,4.38308,0.6
4.20064,0.0144072,-0.0180884,-1.06766,1.4718,-0.010085,0.0126619,-0.956455,-0.714068,-0.970862,-0.695979,4.38308,0.6
4.22062,0.011506,-0.010067,-1.05615,1.46173,-0.00805421,0.00704689,-0.954527,-0.713923,-0.966033,-0.703856,4.42177,0.6
4.22065,0.011506,-0.010067,-1.04464,1.45167,-0.00805421,0.00704689,-0.954527,-0.713923,-0.966033,-0.703856,4.42177,0.6
4.2406,0.0142785,-0.00979942,-1.03036,1.44187,-0.00999496,0.0068596,-0.951754,-0.713655,-0.966033,-0.703856,4.42177,0.6
4.24062,0.0142785,-0.00979942,-1.01609,1.43207,-0.00999496,0.0068596,-0.951754,-0.713655,-0.966033,-0.703856,4.42177,0.6
4.26065,0.0133308,-0.00851071,-1.00276,1.42356,-0.00933154,0.00595749,-0.950892,-0.714216,-0.964223,-0.705705,4.42177,0.6
4.26067,0.0133308,-0.00851071,-0.989425,1.41505,-0.00933154,0.00595749,-0.950892,-0.714216,-0.964223,-0.705705,4.42177,0.6
4.28056,0.0162179,-0.00703897,-0.973207,1.40801,-0.0113525,0.00492728,-0.94759,-0.716263,-0.963808,-0.709224,4.42246,0.6
4.28058,0.0162179,-0.00703897,-0.956989,1.40097,-0.0113525,0.00492728,-0.94759,-0.716263,-0.963808,-0.709224,4.42246,0.6
4.30068,0.0170073,-0.00749756,-0.939982,1.39347,-0.0119051,0.0052483,-0.946801,-0.716722,-0.963808,-0.709224,4.42246,0.6
4.30071,0.0170073,-0.00749756,-0.922975,1.38597,-0.0119051,0.0052483,-0.946801,-0.716722,-0.963808,-0.709224,4.42246,0.6
4.32065,0.0175503,-0.00458882,-0.905424,1.38139,-0.0122852,0.00321218,-0.944514,-0.718005,-0.962065,-0.713417,4.42246,0.6
4.32066,0.0175503,-0.00458882,-0.887874,1.3768,-0.0122852,0.00321218,-0.944514,-0.718005,-0.962065,-0.713417,4.42246,0.6
4.34068,0.0190081,-0.0053725,-0.868866,1.37142,-0.0133057,0.00376075,-0.943056,-0.718789,-0.962065,-0.713417,4.42246,0.6
4.3407,0.0190081,-0.0053725,-0.849858,1.36605,-0.0133057,0.00376075,-0.943056,-0.718789,-0.962065,-0.713417,4.42246,0.6
4.3607,0.0193914,-0.00150947,-0.830466,1.36454,-0.013574,0.00105663,-0.940956,-0.719864,-0.960348,-0.718354,4.42246,0.6
4.36074,0.0193914,-0.00150947,-0.811075,1.36303,-0.013574,0.00105663,-0.940956,-0.719864,-0.960348,-0.718354,4.42246,0.6
4.38063,0.0186767,-0.000106676,-0.792398,1.36293,-0.0130737,7.46733e-05,-0.939606,-0.720516,-0.958282,-0.720409,4.38248,0.6
4.38064,0.0186767,-0.000106676,-0.773722,1.36282,-0.0130737,7.46733e-05,-0.939606,-0.720516,-0.958282,-0.720409,4.38248,0.6
4.40068,0.0204298,-0.001774,-0.753292,1.36105,-0.0143009,0.0012418,-0.937853,-0.722183,-0.958282,-0.720409,4.38248,0.6
4.4007,0.0204298,-0.001774,-0.732862,1.35927,-0.0143009,0.0012418,-0.937853,-0.722183,-0.958282,-0.720409,4.38248,0.6
4.42066,0.0206245,0.00284722,-0.712237,1.36212,-0.0144372,-0.00199305,-0.935341,-0.724538,-0.955966,-0.727385,4.38248,0.6
