timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,Above Ground z,Target z
2.54046,0.0670919,-0.0507282,0.0670919,-0.0507282,-0.0469643,0.0355098,1.23848,-0.925479,1.17139,-0.874751,3.79087,0
2.56047,0.0680491,-0.0529287,0.135141,-0.103657,-0.0476344,0.0370501,1.23944,-0.927679,1.17139,-0.874751,3.79087,0.6
2.58046,0.0721277,-0.0572751,0.207269,-0.160932,-0.0504894,0.0400926,1.24003,-0.929073,1.16791,-0.871798,3.83674,0.6
2.60053,0.0730712,-0.0591141,0.28034,-0.220046,-0.0511498,0.0413799,1.24098,-0.930912,1.16791,-0.871798,3.83674,0.6
2.62047,0.0710031,-0.0569393,0.351343,-0.276985,-0.0497022,0.0398575,1.2416,-0.932024,1.1706,-0.875085,3.79115,0.6
2.64047,0.074085,-0.0618164,0.425428,-0.338802,-0.0518595,0.0432715,1.24247,-0.933612,1.16838,-0.871796,3.89399,0.6
2.66047,0.0746054,-0.0628321,0.500033,-0.401634,-0.0522238,0.0439825,1.24299,-0.934628,1.16838,-0.871796,3.89399,0.6
2.6805,0.0816094,-0.0656232,0.581643,-0.467257,-0.0571266,0.0459362,1.24366,-0.936055,1.16205,-0.870432,3.79087,0.6
2.70166,0.0819688,-0.0665131,0.663612,-0.53377,-0.0573781,0.0465591,1.24402,-0.936945,1.16205,-0.870432,3.79087,0.6
2.72049,0.0877302,-0.0707298,0.751342,-0.6045,-0.0614112,0.0495109,1.24596,-0.938839,1.15823,-0.86811,3.78652,0.6
2.7405,0.0909023,-0.0727665,0.842244,-0.677266,-0.0636316,0.0509366,1.24913,-0.940876,1.15823,-0.86811,3.78652,0.6
2.76044,0.0952709,-0.0756843,0.937515,-0.752951,-0.0666896,0.052979,1.2535,-0.943794,1.15823,-0.86811,3.78652,0.6
2.78051,0.108042,-0.0757033,1.04556,-0.828654,-0.0756293,0.0529923,1.25615,-0.945659,1.14811,-0.869956,3.82154,0.6
2.80053,0.111577,-0.0784248,1.15713,-0.907079,-0.078104,0.0548974,1.25969,-0.948381,1.14811,-0.869956,3.82154,0.6
2.82049,0.118027,-0.0777095,1.27516,-0.984788,-0.0826188,0.0543967,1.26179,-0.95014,1.14376,-0.87243,3.80414,0.6
2.84051,0.129856,-0.076427,1.40502,-1.06122,-0.0908991,0.0534989,1.26717,-0.955087,1.13731,-0.87866,3.83275,0.6
2.86052,0.136558,-0.0827309,1.54157,-1.14395,-0.0955905,0.0579116,1.27387,-0.96139,1.13731,-0.87866,3.83275,0.6
2.88051,0.142735,-0.0798416,1.68431,-1.22379,-0.0999147,0.0558891,1.28326,-0.970515,1.14053,-0.890673,3.79427,0.6
2.90055,0.148573,-0.0857165,1.83288,-1.3095,-0.104001,0.0600016,1.2891,-0.97639,1.14053,-0.890673,3.79427,0.6
2.92053,0.15721,-0.0769782,1.99009,-1.38648,-0.110047,0.0538848,1.29725,-0.984946,1.14005,-0.907968,3.74761,0.6
2.9405,0.156991,-0.075058,2.14708,-1.46154,-0.109893,0.0525406,1.30231,-0.990511,1.14532,-0.915453,3.78131,0.6
2.96051,0.16402,-0.0831668,2.3111,-1.54471,-0.114814,0.0582168,1.30934,-0.998619,1.14532,-0.915453,3.78131,0.6
2.9805,0.168561,-0.0697557,2.47966,-1.61446,-0.117993,0.048829,1.31241,-1.00412,1.14384,-0.934365,3.76733,0.6
3.00052,0.172776,-0.0777702,2.65244,-1.69223,-0.120943,0.0544392,1.31662,-1.01214,1.14384,-0.934365,3.76733,0.6
3.02051,0.183778,-0.0593392,2.83622,-1.75157,-0.128645,0.0415374,1.31918,-1.01733,1.1354,-0.957986,3.71766,0.6
3.04052,0.196456,-0.056861,3,-1.80843,-0.137519,0.0398027,1.32266,-1.02488,1.12621,-0.968022,3.7788,0.6
3.06051,0.198554,-0.061744,3,-1.87018,-0.138988,0.0432208,1.32476,-1.02977,1.12621,-0.968022,3.7788,0.6
3.0805,0.199978,-0.0569571,3,-1.92713,-0.139984,0.03987,1.32755,-1.0369,1.12757,-0.979946,3.77547,0.6
3.10052,0.20149,-0.0611664,3,-1.9883,-0.141043,0.0428165,1.32906,-1.04111,1.12757,-0.979946,3.77547,0.6
3.12055,0.20012,-0.0578158,3,-2.04612,-0.140084,0.040471,1.33107,-1.04723,1.13095,-0.989412,3.71619,0.6
3.14051,0.200673,-0.0553878,3,-2.1015,-0.140471,0.0387715,1.33225,-1.05116,1.13157,-0.995771,3.73365,0.6
3.16051,0.202229,-0.0610546,3,-2.16256,-0.14156,0.0427382,1.3338,-1.05683,1.13157,-0.995771,3.73365,0.6
3.18053,0.210058,-0.0419582,3,-2.20452,-0.14704,0.0293707,1.3347,-1.06045,1.12464,-1.01849,3.7074,0.6
3.20053,0.214612,-0.0361261,3,-2.24064,-0.150229,0.0252883,1.33586,-1.06566,1.12125,-1.02953,3.73045,0.6
3.2205,0.214845,-0.0391762,3,-2.27982,-0.150391,0.0274233,1.3361,-1.06871,1.12125,-1.02953,3.73045,0.6
3.24051,0.209409,-0.0327812,3,-2.3126,-0.146586,0.0229468,1.33598,-1.07006,1.12657,-1.03728,3.67875,0.6
3.26052,0.208804,-0.0379371,3,-2.35054,-0.146162,0.026556,1.33537,-1.07522,1.12657,-1.03728,3.67875,0.6
3.28051,0.218779,-0.0224924,3,-2.37303,-0.153145,0.0157447,1.33479,-1.0788,1.11601,-1.0563,3.76733,0.6
3.30067,0.215648,-0.0146187,3,-2.38765,-0.150954,0.0102331,1.33457,-1.07993,1.11892,-1.06531,3.72965,0.6
3.32056,0.214649,-0.0188784,3,-2.40653,-0.150255,0.0132149,1.33357,-1.08419,1.11892,-1.06531,3.72965,0.6
3.34053,0.21179,-0.0068038,3,-2.41333,-0.148253,0.00476266,1.33329,-1.08519,1.1215,-1.07838,3.67345,0.6
3.36051,0.211179,-0.00813335,3,-2.42146,-0.147825,0.00569334,1.33268,-1.08652,1.1215,-1.07838,3.67345,0.6
3.38052,0.212525,0.00388906,3,-2.41758,-0.148768,-0.00272234,1.3317,-1.08737,1.11917,-1.09126,3.70927,0.6
3.40053,0.211841,0.00345585,3,-2.41412,-0.148289,-0.0024191,1.33102,-1.08781,1.11917,-1.09126,3.70927,0.6
3.42052,0.209171,0.0116188,3,-2.4025,-0.14642,-0.00813314,1.32993,-1.08832,1.12075,-1.09993,3.68455,0.6
3.4405,0.20903,0.0206734,3,-2.38183,-0.146321,-0.0144714,1.32916,-1.08856,1.12013,-1.10924,3.72292,0.6
3.46051,0.20778,0.0204308,3,-2.3614,-0.145446,-0.0143016,1.32791,-1.08881,1.12013,-1.10924,3.72292,0.6
3.48051,0.212671,0.0254259,3,-2.33597,-0.148869,-0.0177981,1.3328,-1.08381,1.12013,-1.10924,3.72292,0.6
3.50053,0.228052,0.0401817,3,-2.29579,-0.159636,-0.0281272,1.34818,-1.06906,1.12013,-1.10924,3.72292,0.6
3.52052,0.205739,0.0450055,3,-2.25078,-0.144017,-0.0315038,1.3579,-1.05962,1.15217,-1.10463,3.6845,0.6
3.54056,0.197308,0.0489186,3,-2.20186,-0.138116,-0.034243,1.37174,-1.04605,1.17443,-1.09497,3.69132,0.6
3.56054,0.206099,0.0577112,3,-2.14415,-0.14427,-0.0403978,1.38053,-1.03726,1.17443,-1.09497,3.69132,0.6
3.58056,0.191497,0.05627,3,-2.08788,-0.134048,-0.039389,1.39311,-1.02442,1.20161,-1.08069,3.70373,0.6
3.60057,0.189469,0.0645528,3,-2.02333,-0.132628,-0.0451869,1.40106,-1.01619,1.21159,-1.08074,3.69788,0.6
3.62056,0.209508,0.0871934,3,-1.93614,-0.146656,-0.0610354,1.4211,-0.993549,1.21159,-1.08074,3.69788,0.6
3.64056,0.188561,0.0806645,3,-1.85547,-0.131993,-0.0564651,1.43389,-0.978942,1.24533,-1.05961,3.68586,0.6
3.6606,0.206889,0.101735,3,-1.75374,-0.144823,-0.0712148,1.45222,-0.957871,1.24533,-1.05961,3.68586,0.6
3.68067,0.190875,0.0971162,3,-1.65662,-0.133612,-0.0679813,1.46389,-0.94433,1.27302,-1.04145,3.67916,0.6
3.70058,0.184731,0.102153,3,-1.55447,-0.129312,-0.0715074,1.48063,-0.924691,1.29589,-1.02684,3.67909,0.6
3.72057,0.195387,0.114808,3,-1.43966,-0.136771,-0.0803657,1.49128,-0.912036,1.29589,-1.02684,3.67909,0.6
3.74057,0.180035,0.109434,3,-1.33023,-0.126025,-0.0766039,1.50803,-0.888597,1.328,-0.998031,3.71406,0.6
3.76058,0.191211,0.126218,3,-1.20401,-0.133848,-0.0883528,1.51921,-0.871813,1.328,-0.998031,3.71406,0.6
3.78057,0.180456,0.123204,3,-1.0808,-0.126319,-0.0862428,1.53523,-0.847574,1.35477,-0.970778,3.65589,0.6
3.80057,0.190655,0.138746,3,-0.942057,-0.133458,-0.0971223,1.54543,-0.832032,1.35477,-0.970778,3.65589,0.6
3.82062,0.205244,0.161156,3,-0.780901,-0.14367,-0.112809,1.56002,-0.809622,1.35477,-0.970778,3.65589,0.6
3.84058,0.170417,0.13632,3,-0.64458,-0.119292,-0.0954241,1.57378,-0.78826,1.40336,-0.92458,3.65763,0.6
3.86059,0.176303,0.150905,3,-0.493675,-0.123412,-0.105634,1.57966,-0.773675,1.40336,-0.92458,3.65763,0.6
3.88058,0.181931,0.164885,3,-0.328791,-0.127352,-0.115419,1.58529,-0.759695,1.40336,-0.92458,3.65763,0.6
3.90058,0.189948,0.184992,3,-0.143798,-0.132964,-0.129495,1.59331,-0.739587,1.40336,-0.92458,3.65763,0.6
3.92058,0.167776,0.166969,3,0.0231711,-0.117443,-0.116878,1.59837,-0.726748,1.43059,-0.893717,3.684,0.6
3.94058,0.157682,0.164756,3,0.187927,-0.110377,-0.115329,1.60547,-0.708487,1.44779,-0.873242,3.68584,0.6
3.96059,0.164235,0.181945,3,0.369872,-0.114965,-0.127361,1.61202,-0.691298,1.44779,-0.873242,3.68584,0.6
3.9806,0.166448,0.19218,3,0.562051,-0.116513,-0.134526,1.61424,-0.681063,1.44779,-0.873242,3.68584,0.6
4.00079,0.143152,0.178095,3,0.740146,-0.100206,-0.124666,1.61447,-0.671898,1.47132,-0.849992,3.6623,0.6
4.0207,0.143312,0.191028,3,0.931174,-0.100318,-0.13372,1.61463,-0.658964,1.47132,-0.849992,3.6623,0.6
4.04054,0.136777,0.185684,3,1.11686,-0.0957442,-0.129979,1.61463,-0.650801,1.47785,-0.836485,3.68495,0.6
4.06089,0.13661,0.19725,3,1.31411,-0.0956271,-0.138075,1.61446,-0.639235,1.47785,-0.836485,3.68495,0.6
4.08065,0.126273,0.192453,3,1.50656,-0.0883913,-0.134717,1.61424,-0.631907,1.48797,-0.824361,3.66432,0.6
4.10061,0.117341,0.192657,3,1.69922,-0.0821385,-0.13486,1.61181,-0.622306,1.49447,-0.814963,3.65133,0.6
4.12067,0.113139,0.197553,3,1.89677,-0.0791972,-0.138287,1.60761,-0.61741,1.49447,-0.814963,3.65133,0.6
4.14061,0.106496,0.194411,3,2.09118,-0.0745475,-0.136088,1.60141,-0.610618,1.49491,-0.805029,3.61725,0.6
4.16061,0.102394,0.198548,3,2.28973,-0.0716759,-0.138984,1.59731,-0.606481,1.49491,-0.805029,3.61725,0.6
4.18062,0.0954261,0.198261,3,2.48799,-0.0667983,-0.138783,1.59124,-0.600809,1.49581,-0.79907,3.66501,0.6
4.20064,0.0914325,0.201694,3,2.68969,-0.0640027,-0.141186,1.58724,-0.597376,1.49581,-0.79907,3.66501,0.6
4.22063,0.0854972,0.206323,3,2.89601,-0.059848,-0.144426,1.58131,-0.592747,1.49581,-0.79907,3.66501,0.6
4.24062,0.0699616,0.192851,3,3,-0.0489731,-0.134996,1.57243,-0.593717,1.50247,-0.786569,3.64051,0.6
4.26081,0.0570706,0.191158,3,3,-0.0399495,-0.133811,1.55954,-0.595411,1.50247,-0.786569,3.64051,0.6
4.28064,0.0582201,0.190734,3,3,-0.0407541,-0.133514,1.55121,-0.596699,1.49299,-0.787434,3.60638,0.6
4.30068,0.0461026,0.188564,3,3,-0.0322718,-0.131995,1.5391,-0.598869,1.49299,-0.787434,3.60638,0.6
4.32066,0.0474804,0.190194,3,3,-0.0332363,-0.133136,1.53126,-0.600474,1.48378,-0.790668,3.63319,0.6
4.34063,0.0410204,0.187287,3,3,-0.0287143,-0.131101,1.51985,-0.603115,1.47883,-0.790402,3.61005,0.6
4.36064,0.0309303,0.183499,3,3,-0.0216512,-0.12845,1.50976,-0.606902,1.47883,-0.790402,3.61005,0.6
4.38063,0.0259775,0.184149,3,3,-0.0181842,-0.128904,1.49119,-0.615543,1.46522,-0.799692,3.64662,0.6
4.40066,0.0140506,0.178387,3,3,-0.00983542,-0.124871,1.47927,-0.621305,1.46522,-0.799692,3.64662,0.6
4.42068,-0.0031947,0.169738,2.99681,3,0.00223629,-0.118816,1.46202,-0.629954,1.46522,-0.799692,3.64662,0.6
4.44063,0.00849881,0.176789,3,3,-0.00594917,-0.123752,1.45095,-0.635699,1.44246,-0.812488,3.61456,0.6
4.46075,-0.00751207,0.168162,2.99249,3,0.00525845,-0.117713,1.43494,-0.644326,1.44246,-0.812488,3.61456,0.6
4.48068,-0.0164695,0.166561,2.97602,3,0.0115286,-0.116593,1.42196,-0.651147,1.43843,-0.817709,3.6266,0.6
4.50064,-0.0169945,0.165053,2.95902,3,0.0118962,-0.115537,1.39929,-0.662905,1.41629,-0.827957,3.58266,0.6
4.52066,-0.0315248,0.157263,2.9275,3,0.0220674,-0.110084,1.38476,-0.670694,1.41629,-0.827957,3.58266,0.6
4.54064,-0.0349397,0.157404,2.89256,3,0.0244578,-0.110183,1.36382,-0.682273,1.39876,-0.839677,3.61648,0.6
4.56068,-0.0483485,0.149756,2.84421,3,0.0338439,-0.104829,1.35041,-0.689921,1.39876,-0.839677,3.61648,0.6
