timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,Above Ground z,Target z
3.41898,0.16519,0.0232802,3,-1.07728,-0.115633,-0.0162961,1.36934,-1.34945,1.20415,-1.37273,3.0707,0.6
3.439,0.167979,0.0206306,3,-1.05665,-0.117585,-0.0144414,1.37213,-1.3521,1.20415,-1.37273,3.0707,0.6
3.459,0.1618,0.0298687,3,-1.02678,-0.11326,-0.0209081,1.37386,-1.35371,1.21206,-1.38357,3.07171,0.6
3.47899,0.158118,0.0409417,3,-0.985835,-0.110683,-0.0286592,1.37551,-1.35515,1.2174,-1.39609,3.07002,0.6
3.49899,0.160441,0.0390877,3,-0.946747,-0.112309,-0.0273614,1.37784,-1.357,1.2174,-1.39609,3.07002,0.6
3.51898,0.156265,0.0504747,3,-0.896272,-0.109386,-0.0353323,1.37879,-1.35697,1.22253,-1.40744,3.08957,0.6
3.53898,0.156802,0.0506007,3,-0.845672,-0.109761,-0.0354205,1.37933,-1.35684,1.22253,-1.40744,3.08957,0.6
3.55896,0.152694,0.0597138,3,-0.785958,-0.106886,-0.0417996,1.37998,-1.35649,1.22729,-1.41621,3.09737,0.6
3.57896,0.153067,0.0600563,3,-0.725902,-0.107147,-0.0420394,1.38036,-1.35615,1.22729,-1.41621,3.09737,0.6
3.59895,0.143041,0.0694128,3,-0.656489,-0.100129,-0.048589,1.38082,-1.35547,1.23778,-1.42489,3.029,0.6
3.61894,0.137862,0.0769787,3,-0.57951,-0.0965032,-0.0538851,1.38105,-1.35492,1.24319,-1.4319,3.02926,0.6
3.63904,0.146936,0.0885679,3,-0.490942,-0.102855,-0.0619975,1.39012,-1.34333,1.24319,-1.4319,3.02926,0.6
3.65893,0.142867,0.0987088,3,-0.392233,-0.100007,-0.0690962,1.40314,-1.32648,1.26027,-1.42518,3.05819,0.6
3.67904,0.127995,0.0950773,3,-0.297156,-0.0895964,-0.0665541,1.4114,-1.31558,1.28341,-1.41065,3.01088,0.6
3.6989,0.139824,0.110957,3,-0.186199,-0.097877,-0.0776699,1.42323,-1.2997,1.28341,-1.41065,3.01088,0.6
3.71889,0.123833,0.110126,3,-0.0760731,-0.0866832,-0.0770881,1.43079,-1.28939,1.30696,-1.39951,3.00897,0.6
3.73901,0.131145,0.120233,3,0.0441603,-0.0918017,-0.0841634,1.4381,-1.27928,1.30696,-1.39951,3.00897,0.6
3.75895,0.124031,0.126355,3,0.170515,-0.086822,-0.0884482,1.44977,-1.26176,1.32574,-1.38812,3.03186,0.6
3.77895,0.108889,0.12217,3,0.292685,-0.0762222,-0.085519,1.45877,-1.24682,1.34988,-1.36899,2.98934,0.6
