timestamp,x,y,z,yaw,lidar_altitude,traj_x,traj_y,traj_z,traj_yaw,velo_x,"velo,y",velo_z,velo_yaw,mode,arm,aruco id,servo pos,precision descend done
1745212035.6580424,0.7142772078514099,-2.8894896507263184,-2.474071979522705,2.2246413230895996,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.6615915,0.7143402099609375,-2.889808416366577,-2.474283218383789,2.2246510982513428,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.667683,0.714400589466095,-2.8901209831237793,-2.474494218826294,2.2246243953704834,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.6746178,0.7144578695297241,-2.8904285430908203,-2.474705457687378,2.2246124744415283,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.6928563,0.7145108580589294,-2.8907291889190674,-2.474916458129883,2.224602222442627,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.696792,0.714582622051239,-2.891338586807251,-2.475369930267334,2.2245686054229736,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.7095356,0.7146182656288147,-2.8916208744049072,-2.475581407546997,2.224558115005493,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.7155545,0.7146512866020203,-2.8918991088867188,-2.4757895469665527,2.224550724029541,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.7287774,0.7146810293197632,-2.8921711444854736,-2.47599720954895,2.2245466709136963,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0,2048,False
1745212035.7475822,0.7147071957588196,-2.892437219619751,-2.476203441619873,2.224541664123535,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.7548933,0.7147219777107239,-2.8927197456359863,-2.4764416217803955,2.224550724029541,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.7590601,0.7147412896156311,-2.8929734230041504,-2.4766485691070557,2.224544048309326,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.7710245,0.7147455215454102,-2.893223524093628,-2.476855516433716,2.2245326042175293,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.7774413,0.714745819568634,-2.8934690952301025,-2.477055072784424,2.2245137691497803,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.7910454,0.7145333290100098,-2.894242763519287,-2.477531671524048,2.2245068550109863,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8039825,0.7144165635108948,-2.8946409225463867,-2.477799415588379,2.224494218826294,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8085642,0.7143089175224304,-2.8950095176696777,-2.4780352115631104,2.2245051860809326,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8179383,0.7142004370689392,-2.8953704833984375,-2.478271007537842,2.224492073059082,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8321388,0.7140910625457764,-2.895723581314087,-2.478504180908203,2.224487781524658,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8389108,0.7139720916748047,-2.896070718765259,-2.478736639022827,2.2244675159454346,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8514817,0.7138523459434509,-2.896411418914795,-2.4789669513702393,2.2244677543640137,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8629417,0.713732123374939,-2.8967463970184326,-2.479196310043335,2.2244515419006348,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8711061,0.7136011123657227,-2.897097587585449,-2.479456901550293,2.2244338989257812,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8839886,0.7133642435073853,-2.8977365493774414,-2.4799132347106934,2.224445104598999,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8901772,0.713245689868927,-2.8980472087860107,-2.4801363945007324,2.2243943214416504,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.8973489,0.7131265997886658,-2.8983523845672607,-2.480360269546509,2.224407196044922,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.9081395,0.7131427526473999,-2.8987948894500732,-2.4806625843048096,2.2244162559509277,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
1745212035.9200988,0.7131388187408447,-2.8992514610290527,-2.4809956550598145,2.224424123764038,-0.17000000178813934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,0,2048,False
