timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
27.3845,-0.343151,0.138359,-0.5,0.5,0.275206,-0.131851,-0.347548,1.24721,-0.00439716,1.10885,6.74855,0.5
27.4046,-0.341287,0.137379,-0.5,0.5,0.273901,-0.131165,-0.345684,1.24623,-0.00439716,1.10885,6.74855,0.5
27.4279,-0.322677,0.154148,-0.5,0.5,0.260874,-0.142904,-0.342019,1.24426,-0.019342,1.09011,6.73785,0.5
27.4485,-0.318592,0.152042,-0.5,0.5,0.258014,-0.141429,-0.337934,1.24215,-0.019342,1.09011,6.73785,0.5
27.4644,-0.312653,0.149088,-0.5,0.5,0.253857,-0.139362,-0.331995,1.2392,-0.019342,1.09011,6.73785,0.5
27.4845,-0.360347,0.16606,-0.5,0.5,0.287243,-0.151242,-0.324792,1.23742,0.0355554,1.07136,6.73456,0.5
27.506,-0.357838,0.165755,-0.5,0.5,0.285486,-0.151028,-0.322282,1.23711,0.0355554,1.07136,6.73456,0.5
27.5244,-0.350316,0.164663,-0.5,0.5,0.280222,-0.150264,-0.314761,1.23602,0.0355554,1.07136,6.73456,0.5
27.5444,-0.435164,0.186202,-0.5,0.5,0.339614,-0.165341,-0.309369,1.23508,0.125794,1.04888,6.73255,0.5
27.5646,-0.494496,0.192284,-0.5,0.5,0.381147,-0.169599,-0.306856,1.23464,0.18764,1.04235,6.69969,0.5
27.5844,-0.484591,0.190261,-0.5,0.5,0.374214,-0.168183,-0.296951,1.23261,0.18764,1.04235,6.69969,0.5
27.6045,-0.537953,0.195395,-0.5,0.5,0.411567,-0.171777,-0.291649,1.23137,0.246304,1.03597,6.73571,0.5
27.6244,-0.635431,0.196437,-0.5,0.5,0.479801,-0.172506,-0.286719,1.23014,0.348712,1.03371,6.58128,0.5
27.6452,-0.630461,0.195202,-0.5,0.5,0.476323,-0.171641,-0.281749,1.22891,0.348712,1.03371,6.58128,0.5
27.6645,-0.622557,0.193114,-0.5,0.5,0.47079,-0.17018,-0.273845,1.22682,0.348712,1.03371,6.58128,0.5
27.6846,-0.660742,0.188781,-0.5,0.5,0.497519,-0.167147,-0.271349,1.22616,0.389393,1.03738,6.57541,0.5
27.7065,-0.652898,0.186003,-0.5,0.5,0.492029,-0.165202,-0.263505,1.22338,0.389393,1.03738,6.57541,0.5
